lat,lon
148.00,81
76.00,-65
173.00,-2
94.00,21
-79.00,33
-177.00,-65
-88.00,-80
-85.00,-63
100.00,-45
-145.00,46
-126.00,-15
115.00,-66
117.00,-31
8.00,-58
-31.00,31
172.00,79
-38.00,44
62.00,84
20.00,50
-36.00,61
-65.00,90
162.00,-51
175.00,75
163.00,-15
-166.00,35
72.00,-10
29.00,-16
-78.00,-54
-9.00,67
139.00,-4
92.00,-57
127.00,11
-146.00,59
-16.00,51
-115.00,-23
108.00,30
0.00,-81
-46.00,-77
56.00,-90
133.00,72
128.00,-9
75.00,6
-118.00,67
-50.00,59
62.00,-52
122.00,27
-101.00,39
-112.00,-81
133.00,-19
-16.00,-12
82.00,-26
134.00,-42
125.00,-34
0.00,-65
-138.00,-45
138.00,-35
1.00,-27
-10.00,-89
-2.00,20
17.00,9
84.00,49
-89.00,-30
-70.00,4
-121.00,66
-114.00,-75
166.00,51
-136.00,-12
118.00,80
83.00,-57
119.00,-56
25.00,10
-138.00,-35
165.00,31
129.00,63
157.00,-46
-125.00,-7
130.00,21
-105.00,2
174.00,-87
-20.00,89
-64.00,32
-164.00,10
-127.00,12
130.00,-70
-47.00,-85
79.00,55
-76.00,-18
-42.00,12
97.00,-35
115.00,-89
167.00,30
-35.00,-20
90.00,-7
34.00,2
170.00,90
97.00,47
91.00,-5
83.00,-70
-144.00,5
5.00,-46
53.00,-44
-49.00,90
105.00,-76
160.00,-41
90.00,-57
-7.00,-60
-149.00,5
40.00,-79
-117.00,-45
146.00,9
40.00,-20
112.00,17
147.00,-15
108.00,75
29.00,-12
61.00,-78
-93.00,28
-7.00,-64
140.00,73
110.00,-64
-86.00,34
136.00,48
-10.00,-85
-23.00,-13
150.00,33
-107.00,50
86.00,42
-112.00,26
175.00,56
-10.00,-9
127.00,68
51.00,90
-141.00,59
-75.00,2
-169.00,72
25.00,17
120.00,-33
9.00,-32
57.00,-85
142.00,77
142.00,-5
132.00,50
-93.00,-15
65.00,-29
-77.00,-12
175.00,-66
137.00,64
66.00,54
-175.00,-2
-96.00,20
93.00,-43
150.00,20
36.00,38
-162.00,10
-69.00,83
-141.00,-55
-144.00,27
-1.00,35
16.00,37
79.00,28
147.00,-82
148.00,-10
143.00,79
67.00,-9
-176.00,60
79.00,50
-5.00,46
131.00,49
-80.00,-63
146.00,56
27.00,-62
3.00,-27
-111.00,-28
-47.00,-38
71.00,-31
165.00,-77
-102.00,-4
8.00,-65
62.00,2
51.00,26
99.00,-60
-18.00,63
-100.00,8
-125.00,-35
-31.00,-31
24.00,-65
56.00,51
89.00,32
24.00,-76
111.00,33
158.00,76
85.00,1
-62.00,53
-142.00,78
50.00,-68
-99.00,25
-68.00,-17
-164.00,-81
-83.00,-63
-93.00,-22
10.00,44
-75.00,-64
-69.00,-62
45.00,-55
-54.00,34
65.00,-43
-35.00,-47
-85.00,18
-12.00,-36
163.00,-14
43.00,84
63.00,-14
-169.00,-71
-42.00,68
70.00,26
40.00,76
77.00,-16
140.00,10
47.00,63
36.00,11
6.00,42
154.00,64
66.00,-39
-114.00,-17
150.00,4
-157.00,90
166.00,74
-158.00,63
-110.00,-18
-168.00,-44
-137.00,-40
-72.00,-63
133.00,-28
-124.00,17
-115.00,47
98.00,81
-123.00,15
-80.00,-1
123.00,-66
-64.00,2
166.00,64
-117.00,54
85.00,-31
-114.00,-83
172.00,-13
-74.00,12
166.00,31
28.00,45
36.00,84
-39.00,53
-95.00,0
-114.00,88
27.00,30
-105.00,45
-39.00,-25
-131.00,30
-110.00,-5
-104.00,40
50.00,16
44.00,-82
-72.00,-8
159.00,53
-165.00,52
-32.00,-16
27.00,69
-82.00,78
-109.00,78
-110.00,-32
163.00,37
-3.00,30
113.00,4
-1.00,59
-68.00,-29
24.00,-61
142.00,-63
-124.00,89
139.00,89
-114.00,72
126.00,45
-153.00,-55
-155.00,79
-148.00,84
147.00,64
-176.00,13
138.00,-10
157.00,-9
88.00,-73
120.00,-26
-63.00,11
8.00,41
-56.00,-7
-20.00,64
-93.00,31
174.00,-74
-49.00,-19
-77.00,-76
168.00,-15
-34.00,43
-25.00,20
109.00,25
-110.00,62
120.00,-18
-166.00,-26
32.00,-20
58.00,-85
-122.00,2
33.00,-20
-150.00,-76
-127.00,-36
48.00,23
64.00,-16
21.00,-11
91.00,9
-179.00,38
-31.00,77
-80.00,31
74.00,-2
-150.00,-59
-79.00,52
77.00,28
64.00,-68
4.00,-47
111.00,5
172.00,72
-72.00,21
-71.00,23
39.00,45
157.00,47
175.00,-37
117.00,42
118.00,-2
167.00,-86
84.00,27
115.00,-50
1.00,2
98.00,-6
-45.00,82
-69.00,-58
40.00,84
-36.00,-54
-109.00,-29
161.00,-8
-164.00,88
8.00,-15
-178.00,27
56.00,-86
115.00,25
-168.00,-89
-118.00,82
-47.00,-69
-178.00,-82
158.00,52
22.00,58
-72.00,62
26.00,48
105.00,10
-146.00,49
35.00,18
-34.00,-77
127.00,-26
102.00,-65
-151.00,-62
131.00,82
-144.00,71
139.00,-35
-41.00,-70
-25.00,74
-64.00,-73
79.00,-21
-110.00,73
-45.00,-20
-160.00,61
-48.00,-49
160.00,-21
-92.00,29
157.00,47
-86.00,23
-87.00,67
19.00,-60
-138.00,34
126.00,17
49.00,-74
124.00,34
156.00,11
125.00,73
28.00,24
110.00,56
62.00,26
-47.00,-89
-37.00,47
-136.00,-48
153.00,-73
-115.00,80
87.00,-15
36.00,-32
128.00,-14
31.00,80
-70.00,21
30.00,68
56.00,-43
-88.00,-25
-145.00,65
-1.00,-56
152.00,51
-9.00,-37
45.00,-38
176.00,51
176.00,-7
-78.00,-16
-58.00,12
-96.00,4
-142.00,-7
-115.00,32
-127.00,-81
146.00,-48
-4.00,-43
-4.00,76
180.00,-86
-66.00,-24
-177.00,60
122.00,-70
92.00,-24
-46.00,-72
156.00,-11
170.00,-6
46.00,-15
10.00,53
60.00,37
170.00,62
-11.00,24
160.00,37
134.00,-28
-171.00,-89
-14.00,-65
-154.00,80
-178.00,60
-84.00,49
115.00,6
14.00,-42
-62.00,82
-47.00,-38
43.00,51
-156.00,88
-29.00,-26
174.00,19
172.00,17
168.00,-77
138.00,25
72.00,-54
21.00,-61
140.00,72
75.00,-23
53.00,15
-139.00,26
-93.00,-27
-101.00,-55
-180.00,-75
-117.00,46
113.00,-9
-64.00,-71
49.00,20
-49.00,58
-7.00,-6
-71.00,17
-5.00,-47
66.00,-75
-86.00,-12
116.00,-26
58.00,88
163.00,-8
33.00,-24
-6.00,-14
131.00,-24
-8.00,-76
-40.00,-8
-169.00,-47
171.00,5
-46.00,-5
-17.00,-23
145.00,-53
-141.00,-55
-50.00,37
99.00,76
-86.00,-70
159.00,-6
23.00,-82
60.00,-10
96.00,-33
-152.00,-45
108.00,59
-165.00,45
-8.00,2
148.00,39
-41.00,-51
-1.00,-77
-131.00,-62
-129.00,-49
-96.00,-27
-58.00,-27
-48.00,-13
-157.00,2
-136.00,14
171.00,83
152.00,-5
-21.00,-39
-35.00,-59
87.00,-68
-98.00,-34
102.00,-14
-125.00,22
40.00,-25
-111.00,84
128.00,13
-124.00,-8
65.00,47
-36.00,-44
-36.00,-51
45.00,-65
21.00,61
-96.00,-5
178.00,90
37.00,63
12.00,-55
8.00,19
-67.00,-77
156.00,78
106.00,78
21.00,-46
-50.00,-68
18.00,68
119.00,-69
12.00,38
165.00,-41
-30.00,-47
135.00,63
-83.00,44
-104.00,18
-98.00,47
-159.00,63
109.00,-60
-176.00,-20
-70.00,35
-2.00,-81
-112.00,-55
-68.00,-22
0.00,-22
130.00,-78
62.00,-87
76.00,71
52.00,2
-98.00,1
99.00,-8
107.00,19
-2.00,-88
170.00,64
23.00,69
-169.00,-81
31.00,63
148.00,-72
-20.00,67
-51.00,11
29.00,12
-36.00,74
-50.00,40
104.00,19
162.00,19
10.00,-3
-151.00,44
113.00,85
-101.00,39
-27.00,-15
111.00,17
-29.00,-30
10.00,-67
92.00,20
57.00,-36
40.00,81
-128.00,16
138.00,90
32.00,43
147.00,32
-46.00,22
149.00,-60
-31.00,-15
6.00,4
-86.00,32
-72.00,-3
-45.00,-29
-45.00,-49
-161.00,61
36.00,29
-138.00,-56
-55.00,2
-129.00,18
-84.00,37
-100.00,28
6.00,58
-80.00,-2
64.00,-49
11.00,41
139.00,67
151.00,-88
77.00,32
-143.00,-55
106.00,-47
70.00,18
-141.00,-28
-166.00,-27
44.00,-42
-82.00,38
1.00,90
-9.00,27
47.00,-29
77.00,65
59.00,-29
-48.00,80
74.00,50
14.00,-15
31.00,-82
-40.00,-74
173.00,-51
66.00,-22
-175.00,-38
-122.00,-42
134.00,-35
173.00,-83
-172.00,-32
-32.00,-20
132.00,-69
-57.00,41
143.00,-78
78.00,-62
-115.00,46
-52.00,2
-87.00,4
-142.00,18
142.00,-64
122.00,-80
-69.00,-29
74.00,-60
111.00,-77
180.00,62
-74.00,-39
76.00,-28
0.00,83
-39.00,16
100.00,-56
0.00,90
-59.00,25
167.00,35
-2.00,62
-7.00,-63
12.00,85
163.00,-12
-1.00,35
140.00,66
12.00,39
67.00,73
163.00,-81
169.00,-53
144.00,5
32.00,50
80.00,58
12.00,-90
-152.00,-24
43.00,22
39.00,9
-161.00,39
76.00,47
-82.00,31
-34.00,34
130.00,76
-72.00,-39
-149.00,-63
-170.00,-88
-130.00,-70
144.00,-52
147.00,81
-147.00,-30
62.00,14
37.00,47
41.00,-70
-180.00,-8
37.00,79
9.00,-40
-9.00,31
-14.00,30
-87.00,-13
-95.00,13
-130.00,77
4.00,58
-56.00,-45
-14.00,-45
94.00,-25
-176.00,36
74.00,87
-90.00,85
76.00,78
-26.00,-43
-127.00,8
36.00,64
144.00,-34
-152.00,-39
95.00,69
-132.00,43
-99.00,-81
-159.00,-90
126.00,-11
-1.00,65
-124.00,53
56.00,4
179.00,-49
8.00,42
-68.00,23
38.00,73
-138.00,59
-24.00,-24
118.00,-45
152.00,30
-166.00,67
-110.00,75
-121.00,-12
-99.00,17
47.00,20
-34.00,19
-180.00,64
133.00,33
-88.00,-66
-120.00,-62
-143.00,-8
-56.00,-28
-55.00,-88
-101.00,10
11.00,54
-66.00,-79
-113.00,39
40.00,20
-25.00,-71
108.00,42
145.00,-62
-27.00,22
-127.00,34
66.00,87
-56.00,-66
122.00,-11
177.00,-40
137.00,12
-133.00,11
133.00,-19
-42.00,61
101.00,67
-30.00,-47
-2.00,-6
110.00,84
145.00,30
161.00,3
7.00,36
86.00,55
-39.00,10
25.00,0
-4.00,6
121.00,-52
159.00,-30
-54.00,-78
60.00,-19
-2.00,-79
37.00,21
-103.00,-86
132.00,-59
69.00,-15
25.00,-54
-61.00,-83
-59.00,85
2.00,-63
63.00,22
-33.00,35
104.00,-13
127.00,15
157.00,59
28.00,-53
60.00,-70
-49.00,80
-74.00,4
96.00,-71
-20.00,-26
32.00,66
-168.00,-65
-141.00,-50
-112.00,53
140.00,-33
-57.00,13
-144.00,32
-10.00,47
169.00,62
36.00,22
-93.00,-13
130.00,-90
-177.00,-56
-25.00,21
-170.00,-28
25.00,73
-109.00,-60
131.00,-55
-39.00,43
-29.00,43
107.00,21
165.00,61
167.00,-70
-4.00,87
135.00,5
-50.00,58
168.00,-29
-157.00,-51
159.00,78
178.00,-27
-52.00,76
140.00,-17
-23.00,-10
-61.00,-76
-130.00,-35
61.00,16
-106.00,-85
-14.00,20
-107.00,51
39.00,-8
86.00,73
-7.00,46
11.00,-1
-74.00,-80
-102.00,32
-28.00,23
-159.00,-50
131.00,-61
89.00,-13
11.00,-11
-122.00,-61
38.00,89
-100.00,-6
45.00,24
-84.00,67
50.00,81
-4.00,19
-20.00,-53
129.00,46
77.00,12
151.00,-48
-18.00,68
-121.00,-5
-163.00,46
-153.00,70
-38.00,-16
-4.00,-79
178.00,65
-27.00,-69
-36.00,64
-110.00,-60
-52.00,-20
119.00,55
-22.00,4
86.00,12
15.00,-20
128.00,-14
158.00,76
149.00,46
-81.00,-47
-64.00,-27
-95.00,-76
124.00,-90
103.00,56
114.00,32
-66.00,-39
171.00,-89
119.00,-35
71.00,-10
-155.00,-59
-112.00,38
47.00,67
151.00,42
151.00,-15
-170.00,17
79.00,-43
-136.00,-28
-160.00,-33
-2.00,-79
-169.00,41
-11.00,64
0.00,62
-164.00,-68
-14.00,-49
158.00,-1
150.00,-32
-16.00,-44
78.00,78
27.00,10
-35.00,80
-134.00,0
103.00,28
-162.00,-64
-3.00,28
158.00,-78
15.00,37
-32.00,62
81.00,-38
-87.00,-23
31.00,-33
-104.00,-48
136.00,-77
-114.00,15
58.00,-26
-71.00,-20
91.00,-51
-147.00,-41
-115.00,-82
-110.00,-50
131.00,-37
63.00,-52
48.00,-7
-113.00,-69
121.00,-57
6.00,63
154.00,-19
-71.00,-23
53.00,50
-15.00,88
110.00,-51
89.00,88
-145.00,-79
180.00,80
-87.00,-66
55.00,8
-132.00,87
66.00,81
-158.00,-5
-45.00,-51
9.00,-37
-78.00,62
83.00,-68
-154.00,-21
-167.00,-54
142.00,2
4.00,-78
-28.00,1
46.00,-82
63.00,0
32.00,1
120.00,-14
-15.00,13
-40.00,28
158.00,40
161.00,7
-110.00,-71
-115.00,56
-100.00,-36
103.00,-52
-29.00,-15
162.00,-62
-3.00,-89
18.00,53
49.00,-84
-53.00,-54
146.00,-35
104.00,-4
-127.00,16
-180.00,-67
130.00,7
98.00,-81
-69.00,69
-95.00,25
-77.00,24
-99.00,74
63.00,-18
173.00,11
27.00,-27
-32.00,-48
-169.00,-34
23.00,83
-6.00,67
-34.00,13
-62.00,-52
-7.00,45
144.00,47
111.00,-23
-82.00,-35
87.00,-79
-117.00,1
14.00,-28
-99.00,41
65.00,6
47.00,24
27.00,55
61.00,38
-62.00,26
-94.00,20
169.00,-90
152.00,51
51.00,-45
80.00,0
-136.00,-60
45.00,27
-8.00,-18
120.00,-7
47.00,-64
-108.00,-29
-162.00,64
-175.00,-70
-33.00,29
-13.00,70
66.00,-3
82.00,33
-15.00,36
139.00,4
-124.00,56
177.00,-59
38.00,19
-8.00,33
156.00,-47
-91.00,79
-104.00,11
148.00,34
-19.00,43
142.00,-11
-168.00,-42
175.00,24
-86.00,43
-125.00,77
26.00,24
32.00,81
-72.00,-87
152.00,60
-137.00,-24
-21.00,-31
-48.00,-37
-113.00,-13
141.00,-41
-14.00,-2
-166.00,36
142.00,-88
-109.00,-35
158.00,-85
1.00,57
-53.00,5
-164.00,-49
105.00,38
60.00,-22
1.00,-82
140.00,-55
-144.00,-64
-120.00,-68
82.00,-67
151.00,-90
-93.00,-23
53.00,-72
161.00,-46
65.00,51
167.00,-29
5.00,-53
111.00,53
-102.00,-12
119.00,-10
-50.00,38
-133.00,71
-40.00,-81
42.00,-90
-154.00,-18
-160.00,9
107.00,-2
-148.00,16
-174.00,-46
135.00,-21
-58.00,-79
18.00,48
172.00,-39
104.00,63
152.00,-27
-79.00,15
124.00,-78
-2.00,-49
-108.00,-28
53.00,-74
-28.00,-13
41.00,56
13.00,-84
-29.00,70
174.00,55
-177.00,-88
-174.00,-4
-164.00,-55
67.00,31
-165.00,-80
-87.00,-56
-64.00,-84
-42.00,-30
139.00,57
-74.00,19
150.00,-68
-156.00,-78
24.00,-14
-17.00,0
19.00,-66
159.00,-55
-9.00,70
81.00,-50
-7.00,59
98.00,85
99.00,-37
-29.00,26
-62.00,-83
-46.00,16
-120.00,13
-29.00,-16
-20.00,-57
120.00,-39
160.00,69
-119.00,34
-25.00,-89
-74.00,63
-162.00,51
-120.00,-49
-136.00,72
156.00,-34
144.00,53
10.00,-10
25.00,60
-124.00,-36
129.00,-14
135.00,-52
-60.00,34
-117.00,46
-163.00,89
10.00,49
45.00,-84
-94.00,80
39.00,-14
141.00,60
-4.00,70
-27.00,33
109.00,-79
-151.00,28
-61.00,58
91.00,-30
-71.00,20
-35.00,88
114.00,-47
-150.00,-47
177.00,-20
-77.00,-43
-82.00,-10
-86.00,-33
-72.00,88
-177.00,66
1.00,-78
8.00,-11
119.00,16
-67.00,32
128.00,-54
-22.00,-74
162.00,29
144.00,14
143.00,-50
-127.00,33
80.00,81
86.00,80
134.00,74
96.00,75
99.00,49
-98.00,-72
28.00,-1
-177.00,-50
56.00,74
-162.00,-5
180.00,46
172.00,57
148.00,1
-43.00,33
31.00,-63
32.00,9
-68.00,45
111.00,-8
-158.00,-14
-143.00,-63
95.00,-72
-44.00,70
-4.00,55
149.00,-28
115.00,37
-104.00,79
64.00,-14
-90.00,-54
35.00,-23
-90.00,-75
-80.00,-29
-61.00,-6
119.00,-80
63.00,57
-138.00,61
-74.00,-80
-40.00,-62
-89.00,-17
24.00,70
121.00,-43
102.00,76
-165.00,-67
-72.00,85
173.00,-73
-45.00,-65
-95.00,51
-120.00,61
-101.00,-69
92.00,37
75.00,-60
-147.00,-31
103.00,28
116.00,-87
161.00,55
112.00,-77
-146.00,-72
-102.00,-3
13.00,59
73.00,70
170.00,86
-128.00,2
17.00,11
135.00,11
-151.00,-64
-44.00,58
9.00,-55
179.00,-61
177.00,-6
84.00,59
117.00,25
106.00,-25
-91.00,-89
-9.00,-80
34.00,77
-32.00,86
-68.00,50
-87.00,-23
31.00,10
-170.00,68
75.00,82
-86.00,0
164.00,-39
-96.00,-35
76.00,7
113.00,-31
94.00,-15
-62.00,-31
-68.00,-14
164.00,6
-29.00,50
-125.00,2
10.00,2
98.00,-6
-154.00,43
-169.00,-58
-72.00,90
169.00,75
-140.00,-90
24.00,-60
-136.00,44
77.00,48
7.00,31
2.00,35
-80.00,-46
-137.00,10
161.00,-67
113.00,27
-95.00,-29
27.00,26
100.00,30
65.00,5
-134.00,-51
64.00,-65
-113.00,28
-4.00,54
-45.00,-82
-3.00,-76
61.00,14
3.00,84
30.00,82
71.00,50
142.00,15
93.00,31
-120.00,-12
45.00,-5
-69.00,-22
162.00,13
4.00,-10
139.00,0
-71.00,-15
64.00,89
-126.00,77
110.00,-60
48.00,47
46.00,5
171.00,3
-80.00,32
91.00,-20
-22.00,-66
-51.00,50
129.00,-43
17.00,15
94.00,34
99.00,39
-117.00,48
-45.00,72
-177.00,-20
23.00,-35
-94.00,-36
-23.00,69
-135.00,72
-157.00,89
-135.00,53
-171.00,-32
-158.00,-48
168.00,-44
-44.00,75
12.00,16
-45.00,83
109.00,-85
25.00,68
78.00,-51
-15.00,-76
-63.00,26
53.00,65
-152.00,-41
-141.00,-17
-68.00,-20
-88.00,-85
130.00,-44
7.00,-21
57.00,-89
-107.00,-13
167.00,80
136.00,37
-45.00,-25
60.00,-19
65.00,-32
37.00,-28
119.00,-68
-40.00,25
74.00,-12
-24.00,-49
164.00,63
-106.00,45
-127.00,-11
-108.00,73
-17.00,-1
-145.00,-49
51.00,-30
8.00,40
97.00,39
-8.00,-35
122.00,-31
48.00,2
-47.00,6
-176.00,-16
59.00,-79
-108.00,-47
96.00,-27
172.00,-10
37.00,23
-105.00,28
43.00,-15
-143.00,60
-119.00,47
-76.00,60
54.00,-15
-40.00,48
-76.00,55
-130.00,-56
163.00,-80
-32.00,83
28.00,-65
-115.00,-67
164.00,25
128.00,36
31.00,-68
-105.00,59
62.00,89
95.00,65
115.00,-82
180.00,-38
-155.00,-31
-165.00,-1
-87.00,65
145.00,83
-136.00,81
142.00,13
93.00,60
180.00,-71
141.00,-59
50.00,71
-68.00,-85
164.00,8
-80.00,-33
-169.00,80
10.00,-32
149.00,-43
106.00,16
174.00,-34
-85.00,21
-78.00,78
71.00,-21
50.00,61
163.00,6
22.00,19
-22.00,73
-148.00,-16
-111.00,33
52.00,66
-67.00,1
140.00,-29
99.00,-31
121.00,24
-132.00,-1
-68.00,18
-150.00,-80
73.00,-15
49.00,-4
-86.00,-9
117.00,33
-140.00,-26
-122.00,10
-87.00,-39
-80.00,-29
-163.00,59
170.00,-76
-157.00,-42
-86.00,-90
-24.00,19
-80.00,-56
74.00,-36
101.00,-10
-179.00,20
101.00,-88
-134.00,-70
3.00,-24
13.00,-42
115.00,24
-120.00,-84
26.00,52
66.00,-64
76.00,-30
-134.00,-78
81.00,18
167.00,-30
-101.00,-41
127.00,-60
-85.00,-52
-60.00,86
-24.00,56
81.00,-30
-117.00,22
85.00,-53
-63.00,-39
-134.00,44
26.00,49
125.00,54
62.00,58
-50.00,78
-155.00,-36
-93.00,48
-101.00,-56
25.00,-60
148.00,-10
-29.00,-34
-172.00,32
33.00,-19
-151.00,-29
-79.00,-41
-59.00,-82
-132.00,-54
57.00,-83
-91.00,9
98.00,-69
73.00,85
167.00,-42
104.00,-39
-154.00,81
-64.00,69
-31.00,-55
87.00,44
151.00,-18
112.00,-78
119.00,52
1.00,41
-41.00,-4
20.00,-6
65.00,88
110.00,-77
-163.00,-67
55.00,75
-173.00,-38
84.00,80
9.00,26
-54.00,-51
15.00,46
122.00,-41
-117.00,46
-71.00,80
-73.00,37
98.00,71
148.00,24
-102.00,50
-130.00,-14
68.00,53
-14.00,-31
-102.00,42
-47.00,53
-75.00,11
82.00,-17
-173.00,64
-81.00,52
-75.00,-4
-37.00,-2
-44.00,39
-97.00,-31
-3.00,47
73.00,-16
143.00,16
13.00,-5
48.00,-82
89.00,-71
118.00,-66
15.00,15
142.00,-12
64.00,87
-109.00,13
62.00,-51
-87.00,5
-124.00,51
117.00,16
57.00,82
-25.00,-26
115.00,-87
80.00,74
-147.00,-66
180.00,-48
-57.00,-39
97.00,80
119.00,51
-97.00,-82
23.00,-71
175.00,-11
70.00,43
-133.00,-66
38.00,-6
-74.00,57
-161.00,-61
-68.00,-32
113.00,62
71.00,-7
-43.00,23
87.00,-19
-110.00,-21
126.00,-62
145.00,75
145.00,-72
82.00,-61
108.00,-36
-37.00,89
159.00,-49
76.00,-7
92.00,-53
-68.00,-30
-180.00,79
-160.00,59
-146.00,0
-20.00,-44
-118.00,7
0.00,-61
-127.00,31
-76.00,-15
-117.00,-1
-38.00,46
42.00,-30
-45.00,61
-40.00,68
28.00,-4
-100.00,18
-153.00,88
-174.00,-25
96.00,0
72.00,64
-61.00,9
-158.00,27
83.00,28
-40.00,55
8.00,-82
24.00,73
148.00,54
31.00,-9
168.00,13
53.00,86
108.00,-47
106.00,2
-17.00,-62
164.00,-50
22.00,-37
-169.00,-67
-13.00,-71
-132.00,88
96.00,-63
-40.00,90
78.00,-44
-168.00,47
-94.00,11
-113.00,57
-83.00,10
25.00,69
107.00,-85
-140.00,38
173.00,54
166.00,-67
47.00,58
-85.00,-77
52.00,12
63.00,-25
-143.00,72
90.00,-84
153.00,14
-108.00,-64
147.00,-81
-26.00,36
-38.00,52
15.00,0
-26.00,39
-1.00,-4
-83.00,40
37.00,90
-128.00,-31
-2.00,-43
-49.00,-2
-143.00,89
-142.00,61
-74.00,45
18.00,-48
143.00,-70
-109.00,75
43.00,-29
-152.00,-25
-107.00,31
-168.00,-89
-180.00,-61
-8.00,-1
66.00,-51
57.00,76
-106.00,-86
180.00,-66
-127.00,-31
-35.00,-86
-1.00,29
127.00,-75
-176.00,-58
113.00,12
43.00,4
-46.00,-47
-44.00,-46
37.00,-76
-8.00,79
-142.00,-28
-144.00,65
39.00,15
-57.00,20
-36.00,-67
47.00,-66
-15.00,-60
116.00,88
83.00,40
-129.00,-74
177.00,9
